FeatureID,FeatureName,cluster 1 Average,cluster 1 Log2 Fold Change,cluster 1 P-Value,cluster 2 Average,cluster 2 Log2 Fold Change,cluster 2 P-Value,cluster 3 Average,cluster 3 Log2 Fold Change,cluster 3 P-Value
ENSMUSG00000026864,Hspa5,1.724371978,0.296026277,0.62889505,1.465811597,-0.150394287,1,,,
ENSMUSG00000073676,Hspe1,,,,1.064443074,-0.241860683,1,,,
ENSMUSG00000064267,Hvcn1,0.440140986,-1.663275038,5.68E-13,1.478273789,1.333084076,4.22E-08,,,
ENSMUSG00000079017,Ifi27l2a,0.951206546,-0.85354142,0.001790307,,,,2.999719223,1.486103008,1.14E-05
ENSMUSG00000031838,Ifi30,2.813049615,-0.770193025,0.004178734,,,,8.167966121,1.391158531,2.59E-05
ENSMUSG00000030536,Iqgap1,0.674805012,-0.543791142,0.106092945,,,,1.185260576,0.622580495,0.337184903
ENSMUSG00000055148,Klf2,0.224448553,-3.571126055,1.17E-50,2.348048833,1.397281824,8.40E-09,3.543012024,1.70823573,4.31E-08
ENSMUSG00000035202,Lars2,2.104971345,0.308861721,0.637651761,,,,,,
ENSMUSG00000028581,Laptm5,,,,2.076458997,0.475559091,0.358906651,,,
ENSMUSG00000018819,Lsp1,0.952957771,-1.235138032,1.55E-07,1.869758505,0.401607842,0.611994256,3.253952393,1.296429749,0.000155993
ENSMUSG00000024399,Ltb,4.752530284,-0.527757148,0.114636065,6.648794206,0.331056856,0.833013855,,,
ENSMUSG00000034634,Ly6d,10.70260597,0.771394242,0.004256284,5.545245633,-0.880228552,0.003557857,,,
ENSMUSG00000022587,Ly6e,,,,4.049782614,-0.28926805,0.98407611,,,
ENSMUSG00000021423,Ly86,2.380789138,0.351129925,0.478372225,1.737401433,-0.434247495,0.550215307,,,
ENSMUSG00000092341,Malat1,11.70167931,0.358421869,0.461651231,8.493628327,-0.441007041,0.533974072,,,
ENSMUSG00000033307,Mif,,,,0.835826314,-0.381831629,0.744652345,,,
ENSMUSG00000020743,Mif4gd,,,,1.030924076,0.382286342,0.680965402,,,
ENSMUSG00000024673,Ms4a1,,,,4.832322314,-0.500937422,0.342844897,,,
ENSMUSG00000031207,Msn,1.372375938,-0.512600261,0.137657665,,,,,,
ENSMUSG00000005583,Mef2c,,,,,,,0.936831816,-0.789891249,0.304233121
ENSMUSG00000024353,Mzb1,2.795537374,0.550432632,0.094353074,2.007272346,-0.353216099,0.813595822,1.642648104,-0.592902453,0.534560026
ENSMUSG00000071715,Ncf4,,,,,,,1.859733048,0.91254189,0.03420484
ENSMUSG00000021025,Nfkbia,,,,1.647587706,0.349167067,0.789892813,,,
ENSMUSG00000027133,Nop10,,,,1.061005228,-0.042457806,1,,,
ENSMUSG00000057113,Npm1,2.587433579,0.286695647,0.651227333,,,,,,
ENSMUSG00000059791,Nrm,0.461739416,-0.810097444,0.002551471,0.725385511,0.328963566,0.858525193,1.037828555,0.868394124,0.04646206
ENSMUSG00000022283,Pabpc1,3.923617553,0.279207059,0.669272038,,,,1.975821253,0.949937946,0.022137319
ENSMUSG00000029322,Plac8,3.732734128,1.556736983,1.80E-11,1.122886457,-1.562405209,2.71E-09,1.662383099,-0.687934558,0.393961963
ENSMUSG00000052160,Pld4,,,,0.640298822,-0.782035172,0.017748516,1.669348391,1.007732155,0.012162194
ENSMUSG00000040385,Ppp1ca,1.439214324,-0.587298031,0.058822958,,,,2.781473398,0.761985452,0.127116332
ENSMUSG00000024953,Prdx5,0.537917663,-0.610439212,0.049768895,,,,1.310635837,1.177234964,0.001362579
ENSMUSG00000020612,Prkar1a,0.727049864,-0.522795388,0.128808571,1.047683575,0.40852203,0.592683149,,,
ENSMUSG00000004207,Psap,2.844279778,0.576079014,0.070176984,1.530700941,-0.902229974,0.002459111,,,
ENSMUSG00000026238,Ptma,4.204689018,-0.758679764,0.004639031,6.369039486,0.294026678,0.939108085,9.128015578,0.84415041,0.06265012
ENSMUSG00000026126,Ptpn18,1.762898908,0.270746376,0.694691273,1.46151429,-0.219927574,1,,,
ENSMUSG00000032946,Rasgrp2,0.374178212,-1.392655328,3.35E-09,0.853875006,0.591749549,0.128735258,1.331531714,1.227998302,0.000673286
ENSMUSG00000005873,Reep5,,,,,,,1.074976781,0.663484991,0.266715608
ENSMUSG00000037805,Rpl10a,12.70483883,0.296838805,0.613852575,,,,8.539448378,-0.494373459,0.641263772
ENSMUSG00000038900,Rpl12,6.366867016,0.423911399,0.305812611,5.116804072,-0.19091533,1,3.743844619,-0.647705464,0.448011205
ENSMUSG00000000740,Rpl13,28.27555588,0.372210397,0.425354468,,,,17.08586205,-0.628396483,0.467974371
ENSMUSG00000074129,Rpl13a,,,,,,,5.484006816,-0.490428467,0.641263772
ENSMUSG00000025794,Rpl14,6.291856251,0.296899151,0.614957131,,,,4.183818917,-0.511297982,0.641263772
ENSMUSG00000062328,Rpl17,4.844177678,0.345392433,0.492116816,,,,2.981145111,-0.611405702,0.494767135
ENSMUSG00000045128,Rpl18a,,,,,,,13.22476834,-0.559937006,0.575271976
ENSMUSG00000039221,Rpl22l1,,,,,,,2.328729397,-0.670184074,0.409590787
ENSMUSG00000071415,Rpl23,,,,,,,12.09406922,-0.534164471,0.617213378
